group,subject,trial,choice,reward,Q1,Q2,pA
1,1,44,1,1,0.705214717694114,0.166550196189742,0.816426270314133
1,1,45,1,0,0.800039916729921,0.166550196189742,0.852585439195479
1,1,46,1,1,0.542686687467327,0.166550196189742,0.739245622025763
1,1,47,1,1,0.6897931696615,0.166550196189742,0.809936289155795
1,1,48,1,1,0.789579102659986,0.166550196189742,0.848905698224168
1,1,49,1,1,0.857266347136647,0.166550196189742,0.871419149791359
1,1,50,1,0,0.903180264330894,0.166550196189742,0.885011188854468
1,1,51,1,0,0.612649313598013,0.166550196189742,0.774845415374197
1,1,52,1,0,0.415575047723369,0.166550196189742,0.665944750736406
1,1,53,1,1,0.281894742158478,0.166550196189742,0.579214919572402
1,1,54,2,1,0.51289160017944,0.166550196189742,0.723023051379357
1,1,55,2,0,0.51289160017944,0.434650567125676,0.553978703559046
1,1,56,1,0,0.51289160017944,0.294834134580883,0.64659559677477
1,1,57,2,1,0.34790694527953,0.294834134580883,0.536692248364158
1,1,58,1,0,0.34790694527953,0.521668707252118,0.381923741372348
1,1,59,2,1,0.235993809474336,0.521668707252118,0.311860442043305
1,1,60,2,1,0.235993809474336,0.675536158452775,0.22833944959914
1,1,61,2,0,0.235993809474336,0.779908222464818,0.181403929552596
1,1,62,2,1,0.235993809474336,0.529030865744719,0.307500233205032
1,1,63,2,1,0.235993809474336,0.680530091032151,0.225910841468716
1,1,64,2,1,0.235993809474336,0.783295729353242,0.18001448754348
1,1,65,2,1,0.235993809474336,0.853004180993869,0.153245427409806
1,1,66,1,0,0.235993809474336,0.900289132554727,0.13700768830975
1,1,67,2,1,0.160080386051109,0.900289132554727,0.113983703657119
1,1,68,2,0,0.160080386051109,0.93236367432822,0.105312779666081
1,1,69,1,1,0.160080386051109,0.632445135992955,0.212714034470919
1,1,70,1,0,0.430261936309568,0.632445135992955,0.363517415271301
1,1,71,2,1,0.291857218716678,0.632445135992955,0.280180324665841
1,1,72,2,1,0.291857218716678,0.750678525609337,0.219065247191376
1,1,73,2,1,0.291857218716678,0.830879132125585,0.183425382337784
1,1,74,2,1,0.291857218716678,0.885281169540258,0.161917966768821
1,1,75,2,0,0.291857218716678,0.922183405114598,0.148519493437848
1,1,76,2,0,0.291857218716678,0.625539609829151,0.284054851789734
1,1,77,1,1,0.291857218716678,0.42431885164598,0.409272725991285
1,1,78,1,0,0.519649392246164,0.42431885164598,0.565644985969706
1,1,79,2,1,0.352490921296969,0.42431885164598,0.45041535440419
1,1,80,1,1,0.352490921296969,0.609501364988648,0.329151839970283
1,1,81,1,0,0.560778719063598,0.609501364988648,0.466305747849493
1,1,82,1,0,0.380389951909775,0.609501364988648,0.346438352520891
1,1,83,2,1,0.258027829150754,0.609501364988648,0.274138670286615
1,1,84,2,0,0.258027829150754,0.735115203300084,0.210531203096473
1,1,85,2,1,0.258027829150754,0.498646662802035,0.339255836168271
1,1,86,2,1,0.258027829150754,0.659919741346478,0.247236754812352
1,1,87,1,0,0.258027829150754,0.76931522392524,0.195214877058754
1,1,88,2,1,0.175026601733272,0.76931522392524,0.161593160416022
1,1,89,2,0,0.175026601733272,0.843520861447948,0.135638068688185
1,1,90,1,0,0.175026601733272,0.572180878148992,0.249687587717002
1,1,91,2,1,0.118724834507673,0.572180878148992,0.221618725783021
1,1,92,2,1,0.118724834507673,0.709799802213018,0.162803001136099
1,1,93,2,1,0.118724834507673,0.803150091956542,0.130546330690493
1,1,94,1,0,0.118724834507673,0.866471881851846,0.111891524599097
1,1,95,2,0,0.0805339656331499,0.866471881851846,0.101801313627115
1,1,96,2,0,0.0805339656331499,0.587749117903698,0.196993407963081
1,1,97,2,1,0.0805339656331499,0.398684634587648,0.292886299560655
1,1,98,2,0,0.0805339656331499,0.592113047168125,0.195087952329295
1,1,99,1,0,0.0805339656331499,0.401644794783822,0.291190760812064
1,1,100,2,1,0.0546281630755376,0.401644794783822,0.276602486054824
1,2,1,2,0,0,0,0.5
1,2,2,2,1,0,0,0.5
1,2,3,1,1,0,0.245750742773657,0.374772433948465
1,2,4,2,1,0.245750742773657,0.245750742773657,0.5
1,2,5,1,1,0.245750742773657,0.431108057973511,0.404675223005238
1,2,6,1,1,0.431108057973511,0.431108057973511,0.5
1,2,7,1,1,0.570913675284469,0.431108057973511,0.572279365246037
1,2,8,2,0,0.676361958297329,0.431108057973511,0.624985081919572
1,2,9,1,1,0.676361958297329,0.325162932510811,0.675112779847134
1,2,10,2,1,0.755896247435573,0.325162932510811,0.710340539548665
1,2,11,2,0,0.755896247435573,0.491004643097476,0.634520441215416
1,2,12,1,1,0.755896247435573,0.370339887350957,0.690605952084949
1,2,13,2,0,0.815884925942118,0.370339887350957,0.716646040677237
1,2,14,2,0,0.815884925942118,0.279328584955747,0.753510568291891
1,2,15,1,0,0.815884925942118,0.210683377724957,0.779092095671856
1,2,16,2,0,0.615380599374012,0.210683377724957,0.699058001192468
1,2,17,1,0,0.615380599374012,0.158907781158986,0.721244516438424
1,2,18,1,0,0.46415035998935,0.158907781158986,0.653779315091382
1,2,19,1,1,0.350085064263307,0.158907781158986,0.59824137782567
1,2,20,2,0,0.509802142460293,0.158907781158986,0.674973598298658
1,2,21,1,1,0.509802142460293,0.119856075906651,0.692555892156224
1,2,22,1,1,0.630268630056731,0.119856075906651,0.743259095939763
1,2,23,1,0,0.721130388847012,0.119856075906651,0.777681249539964
1,2,24,1,1,0.543912060151202,0.119856075906651,0.707470915536676
1,2,25,2,0,0.655996010139151,0.119856075906651,0.753349465335277
1,2,26,1,1,0.655996010139151,0.0904013562266559,0.764569767825432
1,2,27,1,1,0.740535246164557,0.0904013562266559,0.794776084830728
1,2,28,1,1,0.804298902143201,0.0904013562266559,0.815590260591527
1,2,29,1,0,0.85239259230313,0.0904013562266559,0.830181078886836
1,2,30,1,1,0.642916479609872,0.0904013562266559,0.759631345273321
1,2,31,2,1,0.730670019977979,0.0904013562266559,0.791404723879384
1,2,32,1,1,0.730670019977979,0.313935898559867,0.704305217153304
1,2,33,1,1,0.796858062619605,0.313935898559867,0.732182930793839
1,2,34,1,1,0.846780344619317,0.313935898559867,0.75207198264261
1,2,35,2,1,0.884434188736643,0.313935898559867,0.766403030322707
1,2,36,1,1,0.884434188736643,0.482536661079121,0.69782996172076
1,2,37,1,1,0.912834572693854,0.482536661079121,0.71015393101979
1,2,38,2,0,0.934255541198522,0.482536661079121,0.719249663531436
1,2,39,1,1,0.934255541198522,0.363952918203407,0.766330069086508
1,2,40,1,1,0.950412290782238,0.363952918203407,0.772301248989067
1,2,41,1,1,0.962598507154947,0.363952918203407,0.776733300560281
1,2,42,1,1,0.971789951802462,0.363952918203407,0.780035281907281
1,2,43,1,1,0.978722592100688,0.363952918203407,0.782502506620394
1,2,44,1,1,0.983951530896242,0.363952918203407,0.784350148968953
